12/08/02:47:29 02:47:29 - This nickname has already been used!
12/08/02:47:32 02:47:32 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 6 | OLD_ROLL = 6 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:32 02:47:32 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:33 02:47:33 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 6 | OLD_ROLL = 6 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 6 | OLD_ROLL = 6 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 6 | OLD_ROLL = 6 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:34 02:47:34 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 3 | OLD_ROLL = 3 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 2 | OLD_ROLL = 2 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 1 | OLD_ROLL = 1 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 6 | OLD_ROLL = 6 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - red counter 1! [(12, 5)]. || OLD POSITION [12][5] || ROLL = 5 | OLD_ROLL = 5 || Function try to move counter out of the board
12/08/02:47:35 02:47:35 - ERROR! - blue counter 1! [(0, 7)]. || OLD POSITION [0][7] || ROLL = 4 | OLD_ROLL = 4 || Function try to move counter out of the board
